"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to verify all CRUD requests for this application","I create a new user on this application","FAILURE","2022-06-20T23:49:41.050+01:00[Europe/London]","0.0","0.82"
"As a user I would like to verify all CRUD requests for this application","I read a newly created user information from this application","FAILURE","2022-06-20T23:49:41.923+01:00[Europe/London]","0.0","0.69"
"As a user I would like to verify all CRUD requests for this application","I update a newly created user information from this application","FAILURE","2022-06-20T23:49:42.638+01:00[Europe/London]","0.0","0.69"
"As a user I would like to verify all CRUD requests for this application","I delete a newly created user information from this application","FAILURE","2022-06-20T23:49:43.359+01:00[Europe/London]","0.0","0.71"
"All users CRUD test","This will create a new user","SUCCESS","2022-06-20T23:49:33.602+01:00[Europe/London]","0.0","3.34"
"All users CRUD test","Verify if the user was added to the application for name = Dexter Maniac","ERROR","2022-06-20T23:49:36.952+01:00[Europe/London]","0.0","0.94"
"All users CRUD test","Update the user information and verify the updated information for ID = 6607","SUCCESS","2022-06-20T23:49:37.954+01:00[Europe/London]","0.0","0.79"
"All users CRUD test","Delete the user and verify if the user is deleted! for ID = 6607","SUCCESS","2022-06-20T23:49:38.740+01:00[Europe/London]","0.0","1.39"
